台湾FQ,#genre#
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sctv.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jstv.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lntv.m3u8
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dftv.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dntv.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zjtv.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
宁夏卫视,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lytv.m3u8
山东教育,rtmp://ivi.bupt.edu.cn:1935/livetv/sdetv

凤凰,#genre#
凤凰资讯,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv
星空体育,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
[V]音乐,rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
探索频道,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
国家地理,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
澳门莲花,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
国家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
星空卫视,rtmp://58.200.131.2:1935/livetv/startv


日照/浙江,#genre#
日照-1综合,http://stream.rzw.com.cn/xwzh/sd/live.m3u8
日照-2科教,http://stream.rzw.com.cn/ggpd/sd/live.m3u8
日照-3公共,http://stream.rzw.com.cn/kzpd/sd/live.m3u8
日照-4导视,http://stream.rzw.com.cn/fcpd/sd/live.m3u8
浙江1卫视,http://ali.m.l.cztv.com/channels/lantian/channel13/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel13/540p.m3u8
浙江9国际,http://ali.m.l.cztv.com/channels/lantian/channel10/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel10/540p.m3u8
浙江2钱江,http://ali.m.l.cztv.com/channels/lantian/channel02/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel02/540p.m3u8
浙江3经济生活,http://ali.m.l.cztv.com/channels/lantian/channel03/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel03/540p.m3u8
浙江4教育科技,http://ali.m.l.cztv.com/channels/lantian/channel04/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel04/540p.m3u8
浙江5影视娱乐,http://ali.m.l.cztv.com/channels/lantian/channel05/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel05/540p.m3u8
浙江6台,http://ali.m.l.cztv.com/channels/lantian/channel06/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel06/540p.m3u8
浙江7公共新闻,http://ali.m.l.cztv.com/channels/lantian/channel07/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel07/540p.m3u8
浙江8少儿,http://ali.m.l.cztv.com/channels/lantian/channel08/360p.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel08/540p.m3u8
雷神山1,http://mobilelive-play.ysp.cctv.cn/2001893301_fhd.m3u8
雷神山2,http://mobilelive-play.ysp.cctv.cn/2001893201_fhd.m3u8
武汉1新闻,http://stream.appwuhan.com/1tzb/sd/live.m3u8
莒县-1,http://61.162.225.122:8181/live/test1.m3u8
莒县-2,http://61.162.225.122:8181/live/test2.m3u8
黄岛-1新闻,http://qdxmtlive.qwmedia.cn/hdratv-live/xha-xwpd.m3u8
黄岛-2生活,http://qdxmtlive.qwmedia.cn/hdratv-live/xha-fcpd.m3u8
雷神山,http://gcalic.v.myalicdn.com/gc/jyg02_1/index.m3u8
劲爆体育,http://live1.nty.tv189.com/tm-jbsporthd-800k.m3u8
东方影视,http://live1.nty.tv189.com/tm-shdsj-800k.m3u8
上海纪实,http://live1.nty.tv189.com/tm-shjishi-800k.m3u8
第一财经,http://live1.nty.tv189.com/tm-cbnhd-800k.m3u8
潮体育,http://live1.nty.tv189.com/tm-ctyty-800k.m3u8



电影,#genre#
CHC家庭电影,http://125.210.152.18:9090/live/JTYYHD.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD.m3u8
CHC高清电影,http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC华城电影,http://live1.nty.tv189.com/tm-cridyty-800k.m3u8
李连杰,http://aldirect.rtmp.huya.com/huyalive/94525224-2460686093-10568566295157014528-2789253848-10057-A-0-1.m3u8
林正英,http://aldirect.rtmp.huya.com/src/94525224-2460686034-10568566041753944064-2789274542-10057-A-0-1.m3u8
成   龙,http://aldirect.rtmp.huya.com/huyalive/94525224-2460685722-10568564701724147712-2789253838-10057-A-0-1.m3u8
吴   京,http://aldirect.rtmp.huya.com/huyalive/30765679-2554414705-10971127618396487680-3048991636-10057-A-0-1.m3u8
甄子丹,http://aldirect.rtmp.huya.com/huyalive/29169025-2686219938-11537226783573147648-2847699096-10057-A-0-1.m3u8
周润发,http://aldirect.rtmp.huya.com/huyalive/94525224-2460685774-10568564925062447104-2789253840-10057-A-0-1_1200.m3u8
周星驰,http://aldirect.rtmp.huya.com/huyalive/94525224-2460685313-10568562945082523648-2789274524-10057-A-0-1_1200.m3u8
张国荣,https://aldirect.rtmp.huya.com/backsrc/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1_2500.m3u8
郭富城,https://aldirect.rtmp.huya.com/backsrc/1448737849-1448737849-6222281681932386304-2847687520-10057-A-0-1_2500.m3u8
释小龙,https://aldirect.rtmp.huya.com/backsrc/1448686620-1448686620-6222061655052779520-2789253878-10057-A-0-1.m3u8
洪金宝,http://aldirect.rtmp.huya.com/huyalive/29106097-2689406282-11550912026846953472-2789274558-10057-A-0-1.m3u8
徐   峥,http://aldirect.rtmp.huya.com/huyalive/30765679-2689675828-11552069718101721088-3048991626-10057-A-0-1_1200.m3u8
黄   渤,http://aldirect.rtmp.huya.com/huyalive/30765679-2554414680-10971127511022305280-3048991634-10057-A-0-1.m3u8
刘   涛,http://aldirect.rtmp.huya.com/src/94525224-2579730250-11079857056251904000-3048959666-10057-A-0-1.m3u8
王   晶,http://aldirect.rtmp.huya.com/huyalive/1448686695-1448686695-6222061977175326720-2847687574-10057-A-0-1.m3u8
胡   军,http://aldirect.rtmp.huya.com/huyalive/30765679-2475713428-10633108207528050688-3048991608-10057-A-0-1.m3u8
唐国强,http://aldirect.rtmp.huya.com/huyalive/29359996-2689277426-11550358594541060096-2847699098-10057-A-0-1.m3u8
苏有朋,http://aldirect.rtmp.huya.com/huyalive/30765679-2523417175-10837994240789708800-2789253884-10057-A-0-1_1200.m3u8
张卫健,http://aldirect.rtmp.huya.com/huyalive/30765679-2550665260-10955023874743336960-2789253862-10057-A-0-1.m3u8
陈小春,http://aldirect.rtmp.huya.com/huyalive/94525224-2701055008-11600942924057018368-2847687618-10057-A-0-1_1200.m3u8
黄百鸣,http://aldirect.rtmp.huya.com/huyalive/1448686638-1448686638-6222061732362190848-2789253842-10057-A-0-1.m3u8
郑伊健,http://aldirect.rtmp.huya.com/huyalive/30765679-2523417522-10837995731143360512-2777068634-10057-A-0-1.m3u8
陈浩民,http://aldirect.rtmp.huya.com/huyalive/30765679-2523427569-10838038882679783424-2789253886-10057-A-0-1.m3u8
亮  剑,http://aldirect.rtmp.huya.com/huyalive/30765679-2475713500-10633108516765696000-2789274576-10057-A-0-1.m3u8
亮  剑,https://aldirect.rtmp.huya.com/huyalive/30765679-2475713500-10633108516765696000-2789274576-10057-A-0-1_2500.m3u8
易中天,http://aldirect.rtmp.huya.com/backsrc/28466698-2689661800-11552009468300492800-3048991590-10057-A-0-1.m3u8

历年贺岁,https://aldirect.rtmp.huya.com/backsrc/wss://al.p2p.huya.com/huyalive/websocket/28466698-2689663056-11552014862779416576-3048959692-10057-A-0-1_2500.m3u8
国产战争片,https://aldirect.rtmp.huya.com/backsrc/94525224-2579672162-11079607570191613952-2789274580-10057-A-0-1_2500.m3u8
黑帮大片,https://al.rtmp.huya.com/huyalive/30765679-2523417522-10837995731143360512-2777068634-10057-A-0-1_2500.m3u8
港片女神,https://aldirect.rtmp.huya.com/backsrc/94525224-2472147404-10617792251071299584-2777026638-10057-A-0-1_2500.m3u8
国产玄幻怪物,https://aldirect.rtmp.huya.com/backsrc/29106097-2689283558-11550384931280519168-2789274528-10057-A-0-1_2500.m3u8
国产搞笑喜剧,https://aldirect.rtmp.huya.com/backsrc/30765679-2554414680-10971127511022305280-3048991634-10057-A-0-1_2500.m3u8
开心鬼,https://aldirect.rtmp.huya.com/backsrc/1448686638-1448686638-6222061732362190848-2789253842-10057-A-0-1.m3u8
港产搞笑,https://aldirect.rtmp.huya.com/backsrc/30765679-2499070088-10733424298371842048-2789274548-10057-A-0-1_2500.m3u8
雍正王朝,https://aldirect.rtmp.huya.com/huyalive/29359996-2689277426-11550358594541060096-2847699098-10057-A-0-1_2500.m3u8
家有儿女,https://aldirect.rtmp.huya.com/backsrc/29169025-2686221252-11537232427160174592-2847687508-10057-A-0-1_2500.m3u8
还珠格格,https://al.rtmp.huya.com/huyalive/30765679-2523417093-10837993888602390528-2789274530-10057-A-0-1_2500.m3u8
少年包青天,https://aldirect.rtmp.huya.com/backsrc/30765679-2534694464-10886429828232249344-2789253856-10057-A-0-1_2500.m3u8
新水浒传,https://aldirect.rtmp.huya.com/huyalive/30765679-2523417567-10837995924416888832-2789253832-10057-A-0-1_2500.m3u8
新三国,https://aldirect.rtmp.huya.com/backsrc/30765679-2523417353-10837995005293887488-2847699118-10057-A-0-1_2500.m3u8
西游记,https://aldirect.rtmp.huya.com/src/30765679-2550665260-10955023874743336960-2789253862-10057-A-0-1_2500.m3u8
爱情公寓,https://aldirect.rtmp.huya.com/backsrc/30765679-2523417493-10837995606589308928-2777071594-10057-A-0-1_2500.m3u8
武林外传,https://aldirect.rtmp.huya.com/huyalive/29141112-2689670670-11552047564660408320-2847687630-10057-A-0-1_2500.m3u8
铁牙钢齿纪晓岚,https://aldirect.rtmp.huya.com/backsrc/94525224-2468571348-10602433207502635008-2789253864-10057-A-0-1_2500.m3u8
鹿鼎记,https://aldirect.rtmp.huya.com/huyalive/94525224-2701055008-11600942924057018368-2847687618-10057-A-0-1_2500.m3u8
倚天屠龙记,https://aldirect.rtmp.huya.com/src/30765679-2523417175-10837994240789708800-2789253884-10057-A-0-1_2500.m3u8
神探狄仁杰,https://aldirect.rtmp.huya.com/huyalive/28466698-2689651522-11551965324626624512-2847699166-10057-A-0-1_2500.m3u8

收音机,#genre#
中央-中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
中央-中国之声,http://ngcdn001.cnr.cn/live/zgzs48/index.m3u8
中央-经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
中央-经济之声,http://ngcdn002.cnr.cn/live/jjzs48/index.m3u8
中央-娱乐广播,http://ngcdn014.cnr.cn/live/ylgb48/index.m3u8
中央-娱乐广播,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
中央-经典音乐,http://ngcdn004.cnr.cn/live/dszs48/index.m3u8
中央-经典音乐,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
中央-交通,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
中央-交通,http://ngcdn016.cnr.cn/live/gsgljtgb48/index.m3u8
中央-乡村,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
中央-乡村,http://ngcdn017.cnr.cn/live/xczs48/index.m3u8
中央-中华,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
中央-中华,http://ngcdn005.cnr.cn/live/zhzs48/index.m3u8
中央-老年,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
中央-老年,http://ngcdn011.cnr.cn/live/lnzs48/index.m3u8
中央-民族,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
中央-民族,http://ngcdn009.cnr.cn/live/mzzs48/index.m3u8
中央-神州,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
中央-神州,http://ngcdn006.cnr.cn/live/szzs48/index.m3u8
中央-文艺,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
中央-文艺,http://ngcdn010.cnr.cn/live/wyzs48/index.m3u8
中央-香港,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
中央-香港,http://ngcdn008.cnr.cn/live/xgzs48/index.m3u8
中央-音乐,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
中央-音乐,http://ngcdn003.cnr.cn/live/yyzs48/index.m3u8
中央-华夏,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
中央-华夏,http://ngcdn007.cnr.cn/live/hxzs48/index.m3u8

