CCTV,#genre#
民视综艺★,http://seb.sason.top/ptv/ftv.php?id=zy
民视旅游★,http://seb.sason.top/ptv/ftv.php?id=ly
纬来精采★,https://usb.bozztv.com/ttvbHD/index.m3u8
大爱I,https://tv1.wanfudaluye.com/live/live.m3u8
大爱II,https://tv2.wanfudaluye.com/live/live.m3u8
大爱海外,https://tv3.wanfudaluye.com/live/live.m3u8

四川,#genre#
峨眉电影HD,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
四川-2文化旅游,http://scgctvshow.sctv.com/hdlive/sctv2/1.m3u8
四川-3经济,http://scgctvshow.sctv.com/hdlive/sctv3/1.m3u8
四川-4新闻,http://scgctvshow.sctv.com/hdlive/sctv4/1.m3u8
四川-5影视文艺,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川-7妇女儿童,http://scgctvshow.sctv.com/hdlive/sctv7/1.m3u8
四川-8科教,http://118.123.60.9:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=067&Provider_id=&Pcontent_id=index.m3u8
四川-9公共乡村,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8
CDTV-1新闻综合,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=1
CDTV-2经济资讯,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=2
CDTV-3都市生活,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=3
CDTV-4影视文艺,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=45
CDTV-5公共,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=5
CDTV-6少儿,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=6
CDTV-7美食天府,https://www.ootori.xyz/tv/cditv-hd.php?cid=2763&id=17
CCTV4K高码率,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8
纯享4K,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
BesTV4K,http://117.148.187.46/PLTV/88888888/224/3221226718/index.m3u8
