1.山东电信,#genre#
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000033/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000046/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00000047/index.m3u8
卡酷动画,http://150.138.8.143/00/SNM/CHANNEL00000048/index.m3u8
炫动卡通,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
青岛-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
青岛-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
青岛-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000054/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL00000052/index.m3u8
山东公共,http://150.138.8.143/00/SNM/CHANNEL00000053/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000057/index.m3u8
山东影视,http://150.138.8.143/00/SNM/CHANNEL00000056/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000055/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000058/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000059/index.m3u8
山东国际,http://150.138.8.143/00/SNM/CHANNEL00000060/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
海看大片,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8
新,http://150.138.8.143:80/00/SNM/CHANNEL00001002/index.m3u8
济南-1,http://150.138.8.143/00/SNM/CHANNEL00000061/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://150.138.8.143/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
烟台新闻,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
潍坊新闻,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
德州新闻,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州公共,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
滨州新闻,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽1,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽3,http://150.138.8.143/00/SNM/CHANNEL00000233/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
莱芜1,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
莱芜2,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
威海2公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8

3.山东联通,#genre#
